ptVxlArySize	 100.000000	100.000000	48.000000
vxlVoxel	480000
m_isoIsoUParaBtoT	119	
-1.978947	1.978986	-0.879847
-1.936841	1.978986	-0.879847
-1.894736	1.978986	-0.879847
-1.894736	1.978986	-0.837741
-1.852630	1.978986	-0.837741
-1.810524	1.978986	-0.837741
-1.768419	1.978986	-0.795636
-1.726313	1.978986	-0.795636
-1.684207	1.978986	-0.753530
-1.642102	1.978986	-0.753530
-1.599996	1.978986	-0.753530
-1.599996	1.978986	-0.711424
-1.557890	1.978986	-0.711424
-1.515785	1.978986	-0.711424
-1.515785	1.978986	-0.669319
-1.473679	1.978986	-0.669319
-1.431573	1.978986	-0.669319
-1.389468	1.978986	-0.627213
-1.347362	1.978986	-0.627213
-1.305256	1.978986	-0.627213
-1.305256	1.978986	-0.585107
-1.263151	1.978986	-0.585107
-1.221045	1.978986	-0.585107
-1.221045	1.978986	-0.543002
-1.178939	1.978986	-0.543002
-1.136834	1.978986	-0.543002
-1.094728	1.978986	-0.500896
-1.052622	1.978986	-0.500896
-1.010517	1.978986	-0.458790
-0.968411	1.978986	-0.458790
-0.926305	1.978986	-0.458790
-0.926305	1.978986	-0.416685
-0.884200	1.978986	-0.416685
-0.842094	1.978986	-0.416685
-0.842094	1.978986	-0.374579
-0.799988	1.978986	-0.374579
-0.757883	1.978986	-0.374579
-0.715777	1.978986	-0.332473
-0.673671	1.978986	-0.332473
-0.631566	1.978986	-0.332473
-0.631566	1.978986	-0.290368
-0.589460	1.978986	-0.290368
-0.547354	1.978986	-0.290368
-0.547354	1.978986	-0.248262
-0.505249	1.978986	-0.248262
-0.463143	1.978986	-0.248262
-0.421037	1.978986	-0.206156
-0.378932	1.978986	-0.206156
-0.336826	1.978986	-0.206156
-0.336826	1.978986	-0.164051
-0.294720	1.978986	-0.164051
-0.252614	1.978986	-0.164051
-0.252614	1.978986	-0.121945
-0.210509	1.978986	-0.121945
-0.168403	1.978986	-0.121945
-0.126297	1.978986	-0.079839
-0.084192	1.978986	-0.079839
-0.042086	1.978986	-0.037734
