ptVxlArySize	 81.000000	81.000000	39.000000
vxlVoxel	255879
m_isoIsoUParaBtoT	94	
-1.973684	1.973723	-0.874584
-1.921052	1.973723	-0.874584
-1.868420	1.973723	-0.874584
-1.868420	1.973723	-0.821952
-1.815788	1.973723	-0.821952
-1.763156	1.973723	-0.821952
-1.710523	1.973723	-0.769320
-1.657891	1.973723	-0.769320
-1.605259	1.973723	-0.716688
-1.552627	1.973723	-0.716688
-1.499995	1.973723	-0.716688
-1.499995	1.973723	-0.664056
-1.447363	1.973723	-0.664056
-1.394731	1.973723	-0.664056
-1.394731	1.973723	-0.611423
-1.342099	1.973723	-0.611423
-1.289467	1.973723	-0.611423
-1.236835	1.973723	-0.558791
-1.184203	1.973723	-0.558791
-1.131570	1.973723	-0.558791
-1.131570	1.973723	-0.506159
-1.078938	1.973723	-0.506159
-1.026306	1.973723	-0.506159
-1.026306	1.973723	-0.453527
-0.973674	1.973723	-0.453527
-0.921042	1.973723	-0.453527
-0.868410	1.973723	-0.400895
-0.815778	1.973723	-0.400895
-0.763146	1.973723	-0.348263
-0.710514	1.973723	-0.348263
-0.657882	1.973723	-0.348263
-0.657882	1.973723	-0.295631
-0.605250	1.973723	-0.295631
-0.552617	1.973723	-0.295631
-0.552617	1.973723	-0.242999
-0.499985	1.973723	-0.242999
-0.447353	1.973723	-0.242999
-0.394721	1.973723	-0.190367
-0.342089	1.973723	-0.190367
-0.289457	1.973723	-0.190367
-0.289457	1.973723	-0.137735
-0.236825	1.973723	-0.137735
-0.184193	1.973723	-0.137735
-0.184193	1.973723	-0.085103
-0.131561	1.973723	-0.085103
-0.078929	1.973723	-0.085103
-0.026296	1.973723	-0.032470
0.026336	1.973723	-0.032470
0.078968	1.973723	-0.032470
0.078968	1.973723	0.020162
0.131600	1.973723	0.020162
0.184232	1.973723	0.020162
0.184232	1.973723	0.072794
0.236864	1.973723	0.072794
0.289496	1.973723	0.072794
0.342128	1.973723	0.125426
0.394760	1.973723	0.125426
0.447392	1.973723	0.178058
0.500024	1.973723	0.178058
0.552657	1.973723	0.178058
0.552657	1.973723	0.230690
0.605289	1.973723	0.230690
0.657921	1.973723	0.230690
0.657921	1.973723	0.283322
0.710553	1.973723	0.283322
0.763185	1.973723	0.283322
0.815817	1.973723	0.335954
0.868449	1.973723	0.335954
0.921081	1.973723	0.335954
0.921081	1.973723	0.388586
0.973713	1.973723	0.388586
1.026345	1.973723	0.388586
1.078977	1.973723	0.441218
1.131610	1.973723	0.441218
1.184242	1.973723	0.441218
1.184242	1.973723	0.493850
1.236874	1.973723	0.493850
1.289506	1.973723	0.493850
1.289506	1.973723	0.546483
1.342138	1.973723	0.546483
1.394770	1.973723	0.546483
1.447402	1.973723	0.599115
1.500034	1.973723	0.599115
